what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1350658714419
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1350658714420
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1350658714420
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1350658714420
started,bundle,com.google.gdt.eclipse.designer,2.6.0.r37x201206111227,"com.google.gdt.eclipse.designer",1350658714421
started,bundle,com.google.gdt.eclipse.designer.GXT,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.GXT",1350658714421
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.SmartGWT",1350658714421
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.6.0.r37x201206111227,"com.google.gdt.eclipse.designer.UiBinder",1350658714422
started,bundle,com.google.gdt.eclipse.designer.hosted,2.6.0.r37x201206111222,"com.google.gdt.eclipse.designer.hosted",1350658714422
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1350658714423
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1350658714424
started,bundle,org.eclipse.wb.core,1.5.0.r37x201206111201,"org.eclipse.wb.core",1350658714424
started,bundle,org.eclipse.wb.core.lib,1.5.0.r37x201206111201,"org.eclipse.wb.core.lib",1350658714425
started,bundle,org.eclipse.wb.discovery.core,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.core",1350658714425
started,bundle,org.eclipse.wb.discovery.ui,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.ui",1350658714426
started,bundle,org.eclipse.egit.core,2.1.0.201209190230-r,"org.eclipse.egit.core",1350658714426
started,bundle,org.eclipse.egit.ui,2.1.0.201209190230-r,"org.eclipse.egit.ui",1350658714427
started,bundle,org.eclipse.jgit,2.1.0.201209190230-r,"org.eclipse.jgit",1350658714428
os,sysinfo,,,"win32",1350658714431
arch,sysinfo,,,"x86_64",1350658714431
ws,sysinfo,,,"win32",1350658714431
locale,sysinfo,,,"en_US",1350658714431
processors,sysinfo,,,"8",1350658714431
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350658714431
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1350658714431
java.specification.name,sysinfo,,,"Java Platform API Specification",1350658714431
java.specification.vendor,sysinfo,,,"Oracle Corporation",1350658714431
java.specification.version,sysinfo,,,"1.7",1350658714431
java.vendor,sysinfo,,,"Oracle Corporation",1350658714431
java.version,sysinfo,,,"1.7.0_02",1350658714431
java.vm.info,sysinfo,,,"mixed mode",1350658714431
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1350658714431
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350658714431
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1350658714431
java.vm.specification.version,sysinfo,,,"1.7",1350658714431
java.vm.vendor,sysinfo,,,"Oracle Corporation",1350658714431
java.vm.version,sysinfo,,,"22.0-b10",1350658714431
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1350658714434
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1350658714643
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1350658744186
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1350658744362
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1350658744409
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1350658744544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350658744864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350658770546
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1350658843716
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1350658867402
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1350658867414
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1350658867443
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1350658867444
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1350658925222
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350658927656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659022795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659070328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659086089
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659113308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659309223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659332828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659493200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659520074
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659558920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659559781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659653622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659662381
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659702782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659729711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350659784983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350660169674
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350660194636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350660255376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350660281713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350660572954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350660576492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350662487566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350662491009
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350662738632
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350662947601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350663544850
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350663558254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350663593433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1350663593448
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350663595605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350663658492
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1350663658511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350663667414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350663702891
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1350663702909
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350663703892
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350663704937
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350663705040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350663718578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350663718689
